The	O
Relationship	O
of	O
Urinary	O
Metabolites	O
of	O
Carbaryl	B-Chemical
/	O
Naphthalene	B-Chemical
and	O
Chlorpyrifos	B-Chemical
with	O
Human	O
Semen	O
Quality	O
	
Most	O
of	O
the	O
general	O
population	O
is	O
exposed	O
to	O
carbaryl	B-Chemical
and	O
other	O
contemporary	O
-	O
use	O
insecticides	O
at	O
low	O
levels	O
.	O
	
Studies	O
of	O
laboratory	O
animals	O
","	O
in	O
addition	O
to	O
limited	O
human	O
data	O
","	O
show	O
an	O
association	O
between	O
carbaryl	B-Chemical
exposure	O
and	O
decreased	O
semen	O
quality	O
.	O
	
In	O
the	O
present	O
study	O
we	O
explored	O
whether	O
environmental	O
exposures	O
to	O
1	B-Chemical
-	I-Chemical
naphthol	I-Chemical
(	O
1N	B-Chemical
"),"	O
a	O
metabolite	O
of	O
carbaryl	B-Chemical
and	O
naphthalene	B-Chemical
","	O
and	O
3	B-Chemical
","	I-Chemical
5	I-Chemical
","	I-Chemical
6	I-Chemical
-	I-Chemical
trichloro	I-Chemical
-	I-Chemical
2	I-Chemical
-	I-Chemical
pyridinol	I-Chemical
(	O
TCPY	B-Chemical
"),"	O
a	O
metabolite	O
of	O
chlorpyrifos	B-Chemical
and	O
chlorpyrifos	B-Chemical
-	I-Chemical
methyl	I-Chemical
","	O
are	O
associated	O
with	O
decreased	O
semen	O
quality	O
in	O
humans	O
.	O
	
Subjects	O
(	O
n	O
=	O
272	O
)	O
were	O
recruited	O
through	O
a	O
Massachusetts	O
infertility	O
clinic	O
.	O
	
Individual	O
exposures	O
were	O
measured	O
as	O
spot	O
urinary	O
concentrations	O
of	O
1N	B-Chemical
and	O
TCPY	B-Chemical
adjusted	O
using	O
specific	O
gravity	O
.	O
	
Semen	O
quality	O
was	O
assessed	O
as	O
sperm	O
concentration	O
","	O
percent	O
motile	O
sperm	O
","	O
and	O
percent	O
sperm	O
with	O
normal	O
morphology	O
","	O
along	O
with	O
sperm	O
motion	O
parameters	O
(	O
straight	O
-	O
line	O
velocity	O
","	O
curvilinear	O
velocity	O
","	O
and	O
linearity	O
).	O
	
Median	O
TCPY	B-Chemical
and	O
1N	B-Chemical
concentrations	O
were	O
3	O
.	O
22	O
and	O
3	O
.	O
19	O
μg	O
/	O
L	O
","	O
respectively	O
.	O
	
For	O
increasing	O
1N	B-Chemical
tertiles	O
","	O
adjusted	O
odds	O
ratios	O
(	O
ORs	O
)	O
were	O
significantly	O
elevated	O
for	O
below	O
-	O
reference	O
sperm	O
concentration	O
(	O
OR	O
for	O
low	O
","	O
medium	O
","	O
and	O
high	O
tertiles	O
=	O
1	O
.	O
0	O
","	O
4	O
.	O
2	O
","	O
4	O
.	O
2	O
","	O
respectively	O
;	O
p	O
-	O
value	O
for	O
trend	O
=	O
0	O
.	O
1	O
)	O
and	O
percent	O
motile	O
sperm	O
(	O
1	O
.	O
0	O
","	O
2	O
.	O
5	O
","	O
2	O
.	O
4	O
;	O
p	O
-	O
value	O
for	O
trend	O
=	O
0	O
.	O
1	O
).	O
	
The	O
sperm	O
motion	O
parameter	O
most	O
strongly	O
associated	O
with	O
1N	B-Chemical
was	O
straight	O
-	O
line	O
velocity	O
.	O
	
There	O
were	O
suggestive	O
","	O
borderline	O
-	O
significant	O
associations	O
for	O
TCPY	B-Chemical
with	O
sperm	O
concentration	O
and	O
motility	O
","	O
whereas	O
sperm	O
morphology	O
was	O
weakly	O
and	O
nonsignificantly	O
associated	O
with	O
both	O
TCPY	B-Chemical
and	O
1N	B-Chemical
.	O
	
The	O
